Date Event Generated,Instrument Type,Installed Product ID,System Name,Event Description,Component,Error ID,Source of Event,Location,Status,Exp Date,Closed Reason
thu sep 01 2022 12:25:49 gmt+0000,akta avant 25,28930842-2018371,chrm-135462,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,customer resolved on own
thu sep 01 2022 12:25:49 gmt+0000,akta avant 150,28976337-1527825,chrm-117002,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,customer resolved on own
thu sep 01 2022 12:25:48 gmt+0000,akta avant 150,28976337-1705712,chrm-135118,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,customer resolved on own
thu sep 01 2022 12:25:47 gmt+0000,akta avant 150,28976337-2025814,chrm-135471,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,customer resolved on own
thu sep 01 2022 12:25:46 gmt+0000,akta pure 25 m,29018226-2061356,chrm-301399,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,customer resolved on own
wed aug 31 2022 19:25:21 gmt+0000,akta pure 150 l,29046665-1803865,akta pure 01,accumulator mode is now running without drop hold.,eis.frac_15,70.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
wed aug 31 2022 18:52:09 gmt+0000,akta avant 150,28976337-2720145,nan,can bus resend warning.,eis.icu_1,32.0,vid service log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,no action required
wed aug 31 2022 10:37:38 gmt+0000,akta pure 150 m,29046694-2480611,akta pure 150_2,no instrument data received for over 72 hours,nan,nan,connectivity,"malvern, united states of america",closed,2023-03-11t00:00:00.000z,customer resolved on own
wed aug 31 2022 07:40:18 gmt+0000,akta avant 25,28930842-2278816,chrm-158128,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,customer resolved on own
wed aug 31 2022 06:59:50 gmt+0000,akta avant 150,28976337-1578257,chrm-105818,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,customer resolved on own
wed aug 31 2022 06:45:09 gmt+0000,akta avant 25,28930842-2023471,chrm-135459,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,customer resolved on own
tue aug 30 2022 22:05:03 gmt+0000,akta avant 25,28930842-1837474,19-5059,fraction collector is blocked or internal fault in the fraction collector. power off the instrument and check for obstruction inside the fraction collector. power on the instrument and try again.,eis.frac_15,21.0,vid service log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,no action required
tue aug 30 2022 14:14:30 gmt+0000,akta avant 150,28976337-2720145,nan,can bus resend warning.,eis.icu_1,32.0,vid service log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,no action required
tue aug 30 2022 13:44:00 gmt+0000,akta avant 25,28930842-2628404,avant 4,freaq is blocked due to open hatch signals.,eis.frac_15,54.0,vid service log,"bryan, united states of america",closed,2024-07-19t00:00:00.000z,no action required
tue aug 30 2022 10:52:50 gmt+0000,akta avant 150,28976337-2720145,nan,can bus resend warning.,eis.icu_1,32.0,vid service log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,no action required
tue aug 30 2022 08:54:53 gmt+0000,akta avant 150,28976337-2720145,nan,can bus resend warning.,eis.icu_1,32.0,vid service log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,no action required
tue aug 30 2022 02:41:14 gmt+0000,akta avant 150,28976337-2720145,nan,can bus resend warning.,eis.icu_1,32.0,vid service log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,no action required
mon aug 29 2022 20:19:17 gmt+0000,akta avant 25,28930842-2814045,avant 5,freaq is blocked due to open hatch signals.,eis.frac_15,54.0,vid service log,"bryan, united states of america",closed,2024-12-13t00:00:00.000z,no action required
mon aug 29 2022 13:27:29 gmt+0000,akta avant 150,28976337-2735487,19-7010,client: no connection could be made. target machine refused it,nan,nan,client log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,customer resolved on own
mon aug 29 2022 11:52:10 gmt+0000,akta avant 25,28930842-2018371,chrm-135462,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,no action required
mon aug 29 2022 10:32:04 gmt+0000,akta avant 150,28976337-1609435,chrm-128199,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,no action required
mon aug 29 2022 10:32:03 gmt+0000,akta avant 150,28976337-2295359,chrm-158667,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,no action required
mon aug 29 2022 10:27:46 gmt+0000,akta avant 150,28976337-1705712,chrm-135118,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,no action required
mon aug 29 2022 04:27:07 gmt+0000,akta avant 150,28976337-2284113,chrm-158127,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,no action required
mon aug 29 2022 04:22:10 gmt+0000,akta avant 150,28976337-2025814,chrm-135471,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,no action required
sat aug 27 2022 13:58:08 gmt+0000,akta avant 25,28930842-2626667,avant 3,high absorption. no light through cell. check solution absorption and that the cell is fitted correctly.,eis.uv_7,36.0,vid service log,"bryan, united states of america",closed,2024-07-19t00:00:00.000z,no action required
fri aug 26 2022 18:31:03 gmt+0000,akta avant 25,28930842-2584237,avant2,no instrument data received for over 72 hours,nan,nan,connectivity,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
fri aug 26 2022 17:31:59 gmt+0000,akta avant 25,28930842-2626667,avant 3,freaq is blocked due to open hatch signals.,eis.frac_15,54.0,vid service log,"bryan, united states of america",closed,2024-07-19t00:00:00.000z,no action required
fri aug 26 2022 17:31:55 gmt+0000,akta avant 25,28930842-2626667,avant 3,freaq is blocked due to open hatch signals.,eis.frac_15,54.0,system audit trail,"bryan, united states of america",closed,2024-07-19t00:00:00.000z,no action required
